id,title,created_at,duration
196,Dugem Nonstop Breakbeat Terbaru 2016 - DJ Terbaru 2016,2016/07/25 02:45:19 +0000,4843633
197,Riot Ten - Rail Breaker (ft. Rico Act),2017/08/11 15:01:03 +0000,225221
198,Bobby Blakdout - Forbes,2016/08/29 13:52:33 +0000,234992
199,Flux Pavilion & Matthew Koma - Emotional (Virtual Riot Remix)[FREE DOWNLOAD],2016/03/02 17:42:11 +0000,268119
200,The Disco Rangers Bus (Knows How To Rock n Roll),2011/10/03 19:04:45 +0000,212063
201,Skrillex & Damian 'Jr Gong' Marley - Make It Bun Dem,2012/05/08 15:25:16 +0000,213806
202,First Of The Year (Equinox),2011/08/24 15:20:41 +0000,261613
203,Bullet Train by Stephen Swartz ft. Joni Fatora,2012/08/28 01:07:49 +0000,245749
204,OneRepublic - Counting Stars (Longarms Dubstep Remix),2013/09/04 23:12:07 +0000,191233
205,Meg &amp; Dia - Monster (DotEXE Remix),2011/08/31 23:40:10 +0000,223012
206,Linkin Park - Numb - Dubstep Remix,2012/05/13 23:30:37 +0000,253692
207,Paradise - Coldplay,2013/08/21 01:09:59 +0000,243953
208,Jason Derulo - Wiggle (Borgore Remix) [Free Download],2014/08/08 17:37:53 +0000,137232
209,Spag Heddy - Permanent,2014/12/25 12:48:21 +0000,233032
210,Korn 'Narcissistic Cannibal (feat Skrillex and Kill the Noise)',2011/10/13 18:05:10 +0000,194607
211,Different Heaven & EH!DE - My Heart [NCS Release],2014/05/29 12:55:19 +0000,267230
212,Paradise - Jóhannes Ágúst Remix (Coldplay),2011/11/26 14:00:03 +0000,243761
213,O.T Genasis - Coco , Borgore Remix,2014/12/24 19:09:17 +0000,236690
214,The Chainsmokers ft. Daya - Don't Let Me Down (Zomboy Remix),2016/04/15 12:45:24 +0000,265690
215,Max Elto - Shadow Of The Sun (Adventure Club Remix),2014/06/25 21:56:45 +0000,308742
216,Scary Monsters And Nice Sprites (Dirtyphonics remix),2011/08/24 15:20:41 +0000,291297
217,Like A Bitch,2016/01/18 11:50:00 +0000,227311
218,Ruffneck (FULL Flex),2011/08/24 15:20:41 +0000,226371
219,Lost Woods Dubstep - Ephixa,2011/04/11 04:29:54 +0000,233309
220,MS MR - Hurricane (Adventure Club Remix),2015/02/25 22:40:38 +0000,267388
221,KDrew - Circles,2012/10/17 17:33:09 +0000,265820
222,Nuclear (Hands Up),2012/10/18 16:13:55 +0000,316320
223,Metric - Collect Call (Adventure Club Dubstep Remix),2011/12/12 21:09:28 +0000,302063
224,Pegboard Nerds - Here It Comes,2014/06/09 17:42:43 +0000,213675
225,Bullseye by KDrew,2012/04/01 22:11:20 +0000,248780
226,unravel -Full Version- feat. Hatsune Miku (dj-Jo Remix),2014/07/18 00:05:50 +0000,238206
227,Skorge - Sail (AWOLNATION Dubstep Rmx)[BUY = FREE DOWNLOAD],2012/02/04 18:13:01 +0000,195627
228,PUMPED UP KICKS-DUBSTEP,2011/09/27 18:30:47 +0000,327386
229,Mind Control,2013/12/03 11:45:59 +0000,222975
230,Galantis - Gold Dust (Illenium Remix),2015/05/07 18:04:52 +0000,264096
231,New Electro & House 2013 Best Of EDM Mix,2014/05/10 09:32:26 +0000,4510253
